code,name
7.1.3,"W Prowadzenie spraw w zakresie lokalizacji inwestycji, gospodarki nieruchomościami i zagospodarowania przestrzennego"
7.1.4,W Nadzór budowlany i administracja architektoniczno-budowlana
7.2.1,"Planowanie, zagospodarowanie przestrzenne, rewitalizacja oraz polityka miejska"
7.3.1,W Nadzór i kontrola w zakresie przestrzegania i stosowania przepisów w dziedzinie geodezji i kartografii
7.3.2,W Prowadzenie państwowego zasobu geodezyjnego i kartograficznego
7.3.3,Budowa infrastruktury informacji przestrzennej
8.1.1,Tworzenie warunków dla rozwoju sportu dla wszystkich
8.1.2,Upowszechnianie sportu w społeczeństwie
8.2.1,Tworzenie warunków dla rozwoju sportu wyczynowego
8.2.2,System szkolenia w sporcie wyczynowym
9.1.1,W Ochrona materialnego dziedzictwa kulturowego i miejsc pamięci narodowej w kraju i za granicą
9.2.1,"W Działalność artystyczna, upowszechniająca, promująca kulturę i dialog międzykulturowy"
10.1.1,Wspieranie działalności naukowej i dydaktycznej
10.1.2,Utrzymanie i rozwój infrastruktury szkolnictwa wyższego i nauki
10.1.3,"Upowszechnianie, promocja oraz popularyzacja szkolnictwa wyższego i nauki"
10.1.4,Wsparcie procesu kształcenia
10.2.1,"Wspieranie badań aplikacyjnych, prac rozwojowych oraz komercjalizacji wyników B+R"
11.1.1,Zdolność do dowodzenia Siłami Zbrojnymi RP
11.1.2,Zdolność do rozpoznania
11.1.3,Zdolność do rażenia sił przeciwnika
11.1.4,Zdolność do zabezpieczenia logistycznego działań
11.1.5,Zdolność do przetrwania i ochrony wojsk
11.1.6,Uzupełnienie i mobilizacja wojsk
11.1.7,Zabezpieczenie systemu szkolenia i wykorzystanie doświadczeń
11.1.8,"Informatyzacja kierowania i zarządzania resortem obrony narodowej, cyberbezpieczeństwo oraz wsparcie kryptologiczne"
11.1.9,Zakwaterowanie Sił Zbrojnych
11.2.1,Wsparcie wywiadowcze
11.2.2,Ochrona kontrwywiadowcza
11.3.1,"Misje i operacje NATO, UE oraz koalicyjne"
11.3.2,"Międzynarodowa współpraca bilateralna i współpraca w strukturach wielostronnych, w tym w ramach NATO i UE"
11.4.1,Zabezpieczenie potrzeb Sił Zbrojnych przez przedsiębiorców
11.4.2,W Pozamilitarne przygotowania obronne
11.5.1,Wsparcie kierowania obronnością
12.1.1,Tworzenie i koordynacja regulacji w zakresie ochrony środowiska oraz informacja o środowisku
12.1.2,W Promocja zachowań proekologicznych i edukacja środowiskowa
12.1.3,W Monitoring środowiska i kontrole w zakresie ochrony środowiska
12.1.4,W Ochrona przed skutkami zagrożeń
12.1.5,Nadzór nad bezpieczeństwem jądrowym i ochroną radiologiczną
12.1.6,W Gospodarka odpadami
12.2.1,W Ochrona przyrody i krajobrazu
12.2.2,W Ochrona i zrównoważony rozwój lasów
12.2.3,Ochrona i remediacja powierzchni ziemi
12.3.1,W Systemy ochrony powietrza i przeciwdziałania zmianom klimatu
12.4.1,W Gospodarcze wykorzystanie zasobów i struktur geologicznych oraz badania geologiczne
12.4.2,Nadzór i kontrola nad ruchem zakładów górniczych oraz zakładów wykonujących roboty geologiczne
12.5.1,"W Kształtowanie, ochrona i wykorzystanie zasobów wodnych"
12.5.2,Utrzymanie wód i urządzeń wodnych wraz z infrastrukturą związaną z gospodarowaniem zasobami wodnymi
12.5.3,W Ochrona przeciwpowodziowa
12.5.4,W Wsparcie przedsięwzięć infrastrukturalnych w zakresie gospodarki wodno-ściekowej
12.5.5,Nadzór nad gospodarowaniem wodami i powierzonym mieniem Skarbu Państwa oraz zwrot kosztów usług wodnych
13.1.1,W Wsparcie jednostek realizujących zadania pomocy społecznej w realizacji zadań
13.1.2,W Wspieranie osób zagrożonych wykluczeniem społecznym
13.1.3,W Wyrównywanie szans zawodowych i integracja społeczna osób niepełnosprawnych
13.1.4,W Wspieranie aktywnego starzenia się
13.2.1,Świadczenia społeczne realizowane w ramach powszechnego systemu ubezpieczenia społecznego
13.2.2,Świadczenia zlecone ZUS do realizacji na mocy odrębnych ustaw
13.2.3,Świadczenia społeczne rolników
13.2.4,Świadczenia zlecone KRUS do realizacji na mocy odrębnych ustaw
13.2.5,Świadczenia społeczne żołnierzy i funkcjonariuszy
13.2.6,Uposażenia dla sędziów i prokuratorów w stanie spoczynku i uposażenia rodzinne
13.2.7,Nadzór i kształtowanie systemu ubezpieczeń społecznych
13.2.8,Koordynacja systemów zabezpieczenia społecznego
13.3.1,"W Sprawy kombatantów, osób represjonowanych, działaczy opozycji antykomunistycznej i osób represjonowanych z powodów politycznych"
13.4.1,W Wsparcie rodzin wychowujących dzieci i opiekujących się osobami niepełnosprawnymi
13.4.2,W Wsparcie rodzin przeżywających trudności w wypełnianiu funkcji opiekuńczo-wychowawczych oraz piecza zastępcza nad dzieckiem
13.4.3,Wykonywanie zadań z zakresu przysposobienia
13.5.1,W Ekonomia społeczna
14.1.1,W System publicznych służb zatrudnienia
14.1.2,Świadczenia obligatoryjne
14.1.3,W Aktywne formy przeciwdziałania bezrobociu
14.1.4,Zatrudnienie oraz przeciwdziałanie marginalizacji i wykluczeniu społecznemu młodzieży
14.1.5,W Aktywizacja zawodowa osób niepełnosprawnych
14.2.1,Tworzenie ram prawnych stosunków i warunków pracy oraz współpraca międzynarodowa
14.2.2,Nadzór i kontrola przestrzegania prawa pracy
14.2.3,Ochrona roszczeń pracowniczych
14.2.4,Wyrównywanie szans kobiet i mężczyzn na rynku pracy
14.3.1,W Wsparcie rozwoju i organizowanie dialogu i partnerstwa społecznego
15.1.1,Stosunki dwustronne i wielostronne w wymiarze politycznym i gospodarczym
15.1.2,Kształtowanie i koordynacja polityki RP w Unii Europejskiej
15.1.3,Umacnianie bezpieczeństwa zewnętrznego RP
15.2.1,Kształtowanie pozytywnego wizerunku RP za granicą
15.2.2,"Wspieranie rozwoju demokracji, promocja praw człowieka oraz udział w międzynarodowej współpracy rozwojowej"
15.2.3,Upowszechnianie wiedzy o Polsce oraz informowanie o polityce zagranicznej RP
15.3.1,Pomoc i obsługa konsularna
15.3.2,Reprezentowanie i ochrona interesów RP przed międzynarodowymi organami ochrony praw człowieka
15.3.3,Wspieranie Polonii i Polaków za granicą
16.1.1,"W Ewidencja ludności, rejestracja stanu cywilnego oraz dokumenty tożsamości"
16.1.2,Centralne systemy ewidencji państwowych
16.1.3,W Prowadzenie spraw dotyczących obywatelstwa polskiego i repatriacji
16.1.4,W System administracji publicznej i współpraca z jednostkami samorządu terytorialnego
16.1.5,Sprawowanie funkcji organu wyższego stopnia w indywidualnych sprawach z zakresu administracji publicznej należących do właściwości jst oraz orzekanie w innych sprawach na zasadach określonych w ustawach
16.1.6,Realizacja zadań z zakresu prawa humanitarnego
16.2.1,W Przeciwdziałanie dyskryminacji oraz działania na rzecz mniejszości narodowych i etnicznych
16.3.1,W Realizacja zadań z zakresu stosunków pomiędzy Państwem a Kościołami i innymi związkami wyznaniowymi
16.3.2,Duszpasterstwa wojskowe
16.4.1,Ochrona wolności oraz praw człowieka i obywatela
16.4.2,Ochrona i promocja praw dziecka
16.4.3,Ochrona danych osobowych
16.5.1,W Upowszechnianie i wspieranie rozwoju e-usług publicznych
16.5.2,Wspieranie rozwoju społeczeństwa informacyjnego
16.5.3,Kształtowanie bezpieczeństwa cyberprzestrzeni
16.5.4,Informatyzacja systemu kierowania bezpieczeństwem narodowym
16.6.1,W Pożytek publiczny i wspieranie rozwoju społeczeństwa obywatelskiego
17.1.1,Wsparcie rozwoju województw w ramach programów regionalnych
17.1.2,W Wsparcie rozwoju w ramach programów krajowych i planu rozwojowego
17.1.3,W Wsparcie województw w ramach pozostałych programów finansowanych z udziałem niepodlegających zwrotowi środków pomocy
17.2.1,"W Koordynacja realizacji, zarządzanie i wdrażanie programów realizowanych z udziałem środków pochodzących z budżetu UE"
17.2.2,W Zarządzanie realizacją i wdrażanie pozostałych programów finansowanych z udziałem niepodlegających zwrotowi środków pomocowych
18.1.1,Sprawowanie wymiaru sprawiedliwości przez Sąd Najwyższy
18.2.1,Strzeżenie niezależności sądów i niezawisłości sędziów przez Krajową Radę Sądownictwa
18.3.1,Sprawowanie wymiaru sprawiedliwości przez sądy powszechne
18.3.2,Sprawowanie wymiaru sprawiedliwości przez sądy wojskowe
18.4.1,Sprawowanie wymiaru sprawiedliwości przez sądy administracyjne
18.5.1,Wykonywanie kary pozbawienia wolności w warunkach izolacji więziennej oraz tymczasowego aresztowania
18.5.2,Wykonywanie kar alternatywnych wobec kary pozbawienia wolności
18.5.3,Resocjalizacja osób pozbawionych wolności poprzez pracę i pomoc postpenitencjarną
18.6.1,Działalność zakładów dla nieletnich
18.7.1,Przygotowanie zawodowe i doskonalenie kadr sądów powszechnych i prokuratur oraz nadzór nad aplikacjami i zawodami prawniczymi
18.7.2,W Budowa i realizacja strategii oraz wsparcie procesów stanowienia prawa i sprawowania wymiaru sprawiedliwości
18.7.3,"Infrastruktura IT oraz rejestry sądowe i Krajowy Rejestr Karny, Monitor Sądowy i Gospodarczy, Krajowy Rejestr Zadłużonych"
19.1.1,W Kształtowanie warunków funkcjonowania i rozwoju transportu drogowego
19.1.2,W Bezpieczeństwo użytkowników sieci drogowej
19.1.3,Zarządzanie siecią dróg krajowych
19.1.4,"W Budowa, przebudowa, utrzymanie i remonty sieci dróg publicznych"
19.2.1,Kształtowanie warunków funkcjonowania i rozwoju transportu kolejowego
19.2.2,Nadzór nad bezpieczeństwem oraz rynkiem transportu kolejowego
19.2.3,Efektywne wykorzystanie infrastruktury kolejowej
19.2.4,Rozwój infrastruktury kolejowej
19.3.1,Kształtowanie warunków funkcjonowania i rozwoju transportu morskiego i żeglugi śródlądowej
19.3.2,"Administracja morska, bezpieczeństwo żeglugi morskiej i ratownictwo morskie"
19.3.3,Ochrona brzegów i ograniczenie oddziaływania na środowisko morskie
19.3.4,Administracja żeglugi śródlądowej i żegluga śródlądowa
19.3.5,Rozwój infrastruktury dostępowej od strony morza
19.4.1,Kształtowanie warunków funkcjonowania i rozwoju transportu lotniczego
19.4.2,Regulacja i nadzór nad systemem lotnictwa cywilnego w Polsce
19.4.3,Rozwój infrastruktury lotniskowej i nawigacyjnej
19.5.1,W Wspieranie transportu przyjaznego środowisku
19.5.2,"Wykonywanie dozoru technicznego w zakresie transportu drogowego, kolejowego oraz śródlądowego, homologacja typu pojazdu, przedmiotu wyposażenia i części, zapewnienie bezpiecznej eksploatacji pojazdów w ruchu drogowym"
20.1.1,W Kształtowanie warunków funkcjonowania i rozwoju systemu opieki zdrowotnej
20.1.2,Wspieranie restrukturyzacji systemu ochrony zdrowia
20.1.3,W Opłacanie i refundacja składek na ubezpieczenie zdrowotne z budżetu państwa za osoby uprawnione
20.1.4,W Świadczenia opieki zdrowotnej finansowane ze środków publicznych
20.1.5,Medycyna transplantacyjna
20.1.6,Funkcjonowanie publicznej służby krwi
20.1.7,Ochrona praw pacjenta
20.2.1,W Ratownictwo medyczne
20.3.1,"Rejestracja produktów leczniczych i produktów biobójczych, nadzór nad wyrobami medycznymi"
20.3.2,W Nadzór nad produktami leczniczymi oraz wyrobami medycznymi
20.3.3,Dostęp do leków i wyrobów medycznych
20.4.1,W Rozwój infrastruktury systemu ochrony zdrowia
20.5.1,W Profilaktyka zdrowotna i promocja zdrowego trybu życia
20.5.2,W Nadzór sanitarny i działalność kontrolno-inspekcyjna
20.5.3,W Zapobieganie i zwalczanie chorób zakaźnych
20.5.4,W Ochrona zdrowia przed szkodliwym wpływem czynników środowiskowych
21.1.1,Gromadzenie i upowszechnianie wiedzy w zakresie produkcji roślinnej i ochrony roślin uprawnych
21.1.2,Rejestracja i ochrona prawna odmian roślin uprawnych
21.1.3,W Ochrona roślin i nasiennictwo
21.1.4,W Rośliny genetycznie zmodyfikowane
21.1.5,Agrochemiczna obsługa rolnictwa w Polsce
21.2.1,Postęp biologiczny w produkcji zwierzęcej
21.2.2,Kontrola w zakresie hodowli i produkcji zwierzęcej
21.3.1,"W Ochrona zdrowia, zwalczanie chorób zakaźnych, dobrostan zwierząt oraz bezpieczeństwo zdrowia publicznego"
21.3.3,"Diagnostyka laboratoryjna chorób zwierząt, skażeń żywności i pasz"
21.4.1,W Wspieranie rybactwa śródlądowego
21.4.2,Wspieranie rybołówstwa morskiego
21.4.4,Przetwórstwo i obrót produktami rybołówstwa i akwakultury
21.4.5,W Programy wsparcia rybołówstwa
21.5.1,Realizacja systemów wsparcia bezpośredniego
21.5.3,W Wsparcie rozwoju obszarów wiejskich
21.5.4,W Pomoc krajowa i unijna inna niż WPR
21.5.5,Doradztwo rolnicze
21.5.6,Kształtowanie ustroju rolnego państwa i gospodarki żywnościowej
21.5.7,Rolnictwo ekologiczne
21.5.8,"Promocja żywności, systemy jakości żywności, żywność regionalna i tradycyjna"
21.5.9,W Wsparcie infrastruktury wsi
21.5.10,Zbieranie i wykorzystywanie danych rachunkowych z gospodarstw rolnych na potrzeby sieci danych rachunkowości gospodarstw rolnych
21.6.1,Regulacja i stabilizacja rynków rolnych i żywnościowych
22.1.1,W Koordynacja działalności oraz obsługa administracyjna i techniczna
